Language,Marker,IN,ON,GL,SUBSTANCE,HUMAN,APUD,UNDER,SUBST,NEAR
FIN,-ssA,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
FIN,sisällä,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,-llA,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
FIN,päällä,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,lähellä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FIN,vieressä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FIN,alla,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MAR,-(ə̑)štə̑ ~ (ӛ)štӛ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MAR,-eš,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MAR,vӛlnӛ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,vujə̑štə̑,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,donə,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MAR,lišnӛ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAR,saga(n),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAR,lӛvälnӛ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UDM,vi̬li̬n,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDM,-i̮n,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
UDM,-i̮śen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UDM,dori̮n,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
UDM,uli̬n,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HNG,-ban ~ be,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
HNG,belse(jé)ben,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNG,belül,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNG,-n ~ on ~ en ~ ön,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HNG,alatt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HNG,-nál ~ nél,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
HNG,közel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HNG,mellett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MKSH_INDEF,-sə,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MKSH_INDEF,lanksə,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MKSH_INDEF,alə,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MKSH_INDEF,vakssə,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MKSH_DEF,potməsə,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MKSH_DEF,esə,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MKSH_DEF,šir'esə,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MKSH_DEF,pɛl'ə,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TN,-x°na,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
TN,mʹunʹa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,nʹinʹa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,nʹana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,xewxəna,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,ŋil°na,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SSAM,-sne ~ snie,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SSAM,sisnie,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SSAM,-se ~ sse ~ n,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSAM,nelnie,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SSAM,nille,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSAM,nueliem,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SSAM,jarge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SSAM,luvnie,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
